condition,sex,subject,leg,fibre_area,circularity
Condition A,F,38,Right,1159.956,0.84554277
Condition A,F,38,Right,997.025,0.833531781
Condition A,F,38,Right,1038.633,0.947134739
Condition A,F,38,Right,1170.844,0.841274196
Condition A,F,38,Right,1118.737,0.794757869
Condition A,F,38,Right,1133.514,0.916181656
Condition A,F,38,Right,1056.909,0.866829524
Condition A,F,38,Right,1012.58,0.94139792
Condition A,F,38,Right,775.378,0.93112976
Condition A,F,38,Right,699.551,0.876144572
Condition A,F,38,Right,1013.357,0.882631654
Condition A,F,38,Right,847.705,0.922426905
Condition A,F,38,Right,1226.45,0.887417774
Condition A,F,38,Right,786.655,0.906075681
Condition A,F,38,Right,1309.276,0.825924491
Condition A,F,38,Right,800.265,0.912555132
Condition A,F,38,Right,647.444,0.957139209
Condition A,F,38,Right,892.423,0.876295589
Condition A,F,38,Right,1411.934,0.851309777
Condition A,F,38,Right,948.418,0.818732803
Condition A,F,38,Right,1361.383,0.891885676
Condition A,F,38,Right,1312.776,0.917134384
Condition A,F,38,Right,930.142,0.875187647
